char01,char02,char03,char04,char05,char06,char07,char08,Valid
q,u,i,t,t,e,d,*,valid
r,j,n,f,*,*,*,*,invalid
f,l,a,y,i,n,g,*,valid
i,k,u,e,k,n,t,*,invalid
c,y,w,*,*,*,*,*,invalid
r,e,w,o,r,d,*,*,valid
r,e,v,o,k,e,s,*,valid
k,n,f,d,o,w,g,*,invalid
s,p,i,r,e,a,s,*,valid
y,o,k,f,e,x,x,*,invalid
g,h,r,o,s,a,*,*,invalid
o,a,l,*,*,*,*,*,invalid
s,c,a,l,l,i,o,n,valid
s,n,o,r,t,i,n,g,valid
a,t,t,m,*,*,*,*,invalid
c,r,u,m,b,y,*,*,valid
x,w,d,*,*,*,*,*,invalid
o,t,g,v,v,h,f,*,invalid
y,k,w,a,*,*,*,*,invalid
d,a,i,n,t,y,*,*,valid
t,b,k,i,w,y,u,*,invalid
t,a,p,i,r,*,*,*,valid
s,a,p,r,c,r,y,*,invalid
f,i,r,e,b,o,m,b,valid
d,r,e,a,m,e,r,s,valid
n,a,u,*,*,*,*,*,invalid
m,n,l,m,*,*,*,*,invalid
s,r,v,n,a,a,*,*,invalid
f,t,j,w,*,*,*,*,invalid
t,i,l,t,e,d,*,*,valid
i,m,p,r,i,s,o,n,valid
w,o,r,k,m,e,n,*,valid
l,m,r,o,x,t,*,*,invalid
t,t,k,*,*,*,*,*,invalid
e,p,x,*,*,*,*,*,invalid
a,c,b,f,*,*,*,*,invalid
k,d,m,f,p,*,*,*,invalid
e,j,w,c,i,a,*,*,invalid
a,b,a,l,o,n,e,s,valid
e,f,y,l,u,s,*,*,invalid
i,i,g,*,*,*,*,*,invalid
x,g,g,k,q,b,*,*,invalid
u,j,n,*,*,*,*,*,invalid
f,u,e,w,i,*,*,*,invalid
n,s,s,t,j,s,*,*,invalid
q,g,n,q,x,*,*,*,invalid
a,l,d,e,r,s,*,*,valid
j,m,q,*,*,*,*,*,invalid
t,r,e,a,t,i,s,e,valid
u,t,t,s,v,*,*,*,invalid
s,e,u,y,l,x,f,*,invalid
e,r,s,x,p,q,u,*,invalid
p,v,i,v,*,*,*,*,invalid
f,r,d,p,v,t,p,*,invalid
r,u,m,m,e,r,*,*,valid
o,k,a,*,*,*,*,*,invalid
q,o,q,k,v,*,*,*,invalid
q,q,h,c,h,*,*,*,invalid
d,t,h,k,f,h,*,*,invalid
w,h,i,s,t,*,*,*,valid
p,u,e,k,e,g,u,*,invalid
b,b,v,j,i,*,*,*,invalid
i,o,e,*,*,*,*,*,invalid
w,y,h,a,q,*,*,*,invalid
u,d,b,s,r,u,*,*,invalid
c,a,b,l,i,n,g,*,valid
h,l,b,j,d,i,l,*,invalid
e,k,u,*,*,*,*,*,invalid
m,m,j,m,m,u,c,*,invalid
b,q,a,d,h,j,a,*,invalid
p,u,r,v,e,y,*,*,valid
e,l,u,i,*,*,*,*,invalid
i,v,s,*,*,*,*,*,invalid
s,m,r,*,*,*,*,*,invalid
e,x,p,i,r,e,s,*,valid
r,i,n,s,e,*,*,*,valid
p,h,l,n,s,q,o,*,invalid
