char01,char02,char03,char04,char05,char06,char07,char08,Valid
d,l,o,*,*,*,*,*,invalid
t,l,l,*,*,*,*,*,invalid
w,q,e,l,t,n,*,*,invalid
t,n,m,*,*,*,*,*,invalid
t,r,a,i,t,o,r,*,valid
h,s,g,a,e,*,*,*,invalid
p,a,n,t,h,e,o,n,valid
r,i,t,z,i,e,s,t,valid
f,x,v,e,g,p,h,*,invalid
b,a,n,a,*,*,*,*,invalid
k,t,j,*,*,*,*,*,invalid
j,m,b,p,f,w,*,*,invalid
y,q,g,*,*,*,*,*,invalid
s,l,o,*,*,*,*,*,invalid
c,o,c,c,i,*,*,*,valid
t,j,a,*,*,*,*,*,invalid
d,a,g,*,*,*,*,*,invalid
m,h,l,h,x,*,*,*,invalid
g,r,i,m,i,e,r,*,valid
u,d,q,*,*,*,*,*,invalid
c,a,r,d,*,*,*,*,valid
s,t,a,i,r,w,a,y,valid
c,a,r,r,i,a,g,e,valid
u,p,f,*,*,*,*,*,invalid
e,j,s,b,m,n,*,*,invalid
c,b,m,v,a,a,v,*,invalid
e,e,m,v,q,*,*,*,invalid
c,u,g,c,e,q,j,*,invalid
n,m,g,q,j,*,*,*,invalid
v,k,f,u,a,*,*,*,invalid
s,r,y,f,v,b,*,*,invalid
s,l,u,s,h,i,e,r,valid
c,u,s,h,u,*,*,*,invalid
k,s,r,t,o,j,*,*,invalid
t,s,f,c,*,*,*,*,invalid
l,a,v,i,s,h,e,s,valid
a,l,t,*,*,*,*,*,invalid
c,o,m,f,y,*,*,*,valid
s,x,i,*,*,*,*,*,invalid
p,v,p,u,r,r,d,*,invalid
e,g,k,k,n,c,*,*,invalid
h,w,f,q,k,*,*,*,invalid
o,d,t,q,*,*,*,*,invalid
m,q,b,x,*,*,*,*,invalid
m,q,o,*,*,*,*,*,invalid
x,h,l,*,*,*,*,*,invalid
v,r,g,t,o,e,y,*,invalid
f,c,q,x,*,*,*,*,invalid
w,p,f,u,s,x,r,*,invalid
r,i,q,*,*,*,*,*,invalid
y,r,p,a,g,w,*,*,invalid
c,e,m,e,n,t,*,*,valid
f,a,t,e,f,u,l,*,valid
s,t,i,l,l,e,r,*,valid
l,r,t,s,o,k,*,*,invalid
n,v,m,j,w,b,*,*,invalid
g,a,r,d,e,n,e,r,valid
s,n,o,w,m,e,n,*,valid
k,j,q,n,k,o,*,*,invalid
e,l,m,*,*,*,*,*,invalid
i,i,f,a,w,*,*,*,invalid
c,s,g,a,i,s,*,*,invalid
k,t,a,o,*,*,*,*,invalid
s,p,a,t,u,l,a,s,valid
f,e,t,t,l,e,*,*,valid
a,b,o,v,e,*,*,*,valid
a,b,a,l,v,c,*,*,invalid
h,o,s,*,*,*,*,*,valid
l,g,r,*,*,*,*,*,invalid
b,i,x,w,o,*,*,*,invalid
w,y,d,m,d,*,*,*,invalid
h,o,n,e,*,*,*,*,valid
i,a,v,q,x,k,u,*,invalid
w,g,v,i,f,j,*,*,invalid
v,d,f,a,r,*,*,*,invalid
l,t,v,c,d,*,*,*,invalid
g,i,r,a,f,f,e,s,valid
v,c,l,*,*,*,*,*,invalid
n,y,p,h,v,a,h,*,invalid
o,w,s,l,*,*,*,*,invalid
e,a,v,b,e,g,*,*,invalid
s,n,k,v,e,j,k,*,invalid
d,n,r,h,a,*,*,*,invalid
i,f,k,y,t,y,*,*,invalid
e,c,b,i,o,*,*,*,invalid
w,n,u,q,u,g,*,*,invalid
r,e,e,d,s,*,*,*,valid
m,d,q,*,*,*,*,*,invalid
i,k,l,k,q,*,*,*,invalid
r,n,l,n,*,*,*,*,invalid
b,o,b,b,l,i,n,g,valid
p,r,i,n,c,e,l,y,valid
l,s,a,r,*,*,*,*,invalid
j,f,a,*,*,*,*,*,invalid
g,f,y,a,j,*,*,*,invalid
a,s,t,u,t,e,l,y,valid
d,q,i,x,v,*,*,*,invalid
v,v,p,e,l,c,*,*,invalid
x,e,e,w,l,*,*,*,invalid
b,j,r,*,*,*,*,*,invalid
u,u,y,w,*,*,*,*,invalid
y,e,n,l,e,*,*,*,invalid
a,i,l,b,k,h,w,*,invalid
e,s,d,c,*,*,*,*,invalid
e,a,q,w,*,*,*,*,invalid
k,t,y,w,i,m,*,*,invalid
w,u,c,u,*,*,*,*,invalid
y,n,k,k,b,w,*,*,invalid
p,s,s,t,*,*,*,*,valid
o,n,p,d,r,s,*,*,invalid
h,b,f,b,k,x,k,*,invalid
c,a,r,a,f,e,*,*,valid
b,u,j,u,d,a,x,*,invalid
u,h,u,r,n,w,*,*,invalid
a,f,l,u,t,t,e,r,valid
f,u,z,e,d,*,*,*,valid
h,o,p,s,*,*,*,*,valid
e,g,g,*,*,*,*,*,valid
b,u,f,f,a,l,o,*,valid
f,u,l,l,e,d,*,*,valid
h,e,l,p,l,i,n,e,valid
o,x,p,j,w,*,*,*,invalid
o,i,q,e,g,j,*,*,invalid
h,o,m,e,r,o,o,m,valid
w,a,h,f,u,j,*,*,invalid
l,o,o,s,e,s,*,*,valid
j,a,r,q,*,*,*,*,invalid
v,a,l,e,t,*,*,*,valid
k,u,l,g,r,q,*,*,invalid
b,u,n,d,l,e,s,*,valid
d,i,s,h,p,a,n,*,valid
w,h,i,s,t,l,e,*,valid
y,m,c,v,x,q,*,*,invalid
t,r,i,u,m,p,h,s,valid
j,o,a,*,*,*,*,*,invalid
c,e,r,u,l,e,a,n,valid
u,f,v,m,*,*,*,*,invalid
i,n,f,e,c,t,e,d,valid
o,p,w,r,g,*,*,*,invalid
t,r,a,u,m,a,s,*,valid
y,w,l,*,*,*,*,*,invalid
b,b,b,c,r,*,*,*,invalid
e,t,h,o,s,*,*,*,valid
j,t,v,e,v,u,m,*,invalid
r,e,v,e,l,s,*,*,valid
s,p,a,t,e,s,*,*,valid
d,o,g,s,*,*,*,*,valid
f,y,o,*,*,*,*,*,invalid
j,h,n,q,v,m,*,*,invalid
i,m,o,d,c,*,*,*,invalid
w,w,x,*,*,*,*,*,invalid
m,v,u,*,*,*,*,*,invalid
v,i,e,c,*,*,*,*,invalid
c,d,e,o,e,*,*,*,invalid
a,d,m,u,*,*,*,*,invalid
a,o,f,i,*,*,*,*,invalid
v,s,e,s,a,m,g,*,invalid
g,a,r,n,e,r,s,*,valid
n,h,x,j,w,q,*,*,invalid
v,o,l,u,m,e,*,*,valid
s,e,d,i,m,e,n,t,valid
m,i,l,d,e,r,*,*,valid
z,o,m,b,i,e,s,*,valid
v,t,e,d,f,d,t,*,invalid
s,e,e,m,l,y,*,*,valid
u,r,b,g,x,u,*,*,invalid
x,l,k,u,*,*,*,*,invalid
t,h,m,q,*,*,*,*,invalid
g,i,s,f,r,b,u,*,invalid
d,e,l,u,d,i,n,g,valid
s,e,a,b,i,r,d,s,valid
p,i,g,t,a,i,l,s,valid
c,e,d,n,*,*,*,*,invalid
b,t,f,r,t,v,*,*,invalid
d,o,u,g,h,n,u,t,valid
n,y,s,h,p,*,*,*,invalid
a,d,m,i,r,e,s,*,valid
b,e,d,r,o,o,m,s,valid
u,r,i,q,e,c,m,*,invalid
j,n,o,g,h,l,*,*,invalid
p,o,k,i,e,r,*,*,valid
g,s,b,a,x,*,*,*,invalid
q,s,o,p,t,s,*,*,invalid
e,a,r,l,i,e,s,t,valid
c,l,i,m,b,*,*,*,valid
u,n,x,p,*,*,*,*,invalid
s,o,f,a,s,*,*,*,valid
s,h,i,r,k,*,*,*,valid
p,e,l,t,i,n,g,*,valid
w,c,w,*,*,*,*,*,invalid
r,g,y,c,s,h,t,*,invalid
k,g,k,v,u,*,*,*,invalid
d,e,a,f,e,n,e,d,valid
g,o,o,g,l,e,*,*,valid
v,a,n,n,i,n,g,*,valid
c,a,s,e,*,*,*,*,valid
s,e,q,*,*,*,*,*,invalid
b,y,e,l,a,w,s,*,valid
j,g,g,*,*,*,*,*,invalid
h,d,n,*,*,*,*,*,invalid
c,h,o,s,e,n,*,*,valid
i,u,y,g,m,a,i,*,invalid
p,x,i,o,n,*,*,*,invalid
e,l,v,y,*,*,*,*,invalid
o,r,t,b,h,x,*,*,invalid
i,o,d,d,d,m,o,*,invalid
q,u,k,b,y,*,*,*,invalid
s,p,e,c,i,a,l,s,valid
