char01,char02,char03,char04,char05,char06,char07,char08,Valid
r,e,o,c,c,u,r,s,valid
c,a,l,m,e,d,*,*,valid
i,i,w,t,*,*,*,*,invalid
j,j,b,v,t,s,t,*,invalid
t,o,d,u,t,y,*,*,invalid
t,w,o,f,e,r,*,*,valid
j,b,p,a,*,*,*,*,invalid
i,o,b,i,*,*,*,*,invalid
q,u,i,z,z,e,d,*,valid
o,g,j,o,y,*,*,*,invalid
e,x,p,o,s,i,n,g,valid
q,k,g,k,v,u,b,*,invalid
o,p,a,q,u,e,r,*,valid
b,l,a,z,e,d,*,*,valid
l,e,w,f,g,*,*,*,invalid
a,m,p,u,l,e,*,*,valid
d,i,g,e,s,t,e,d,valid
f,o,r,e,b,o,d,e,valid
e,d,h,*,*,*,*,*,invalid
b,e,e,p,*,*,*,*,valid
c,l,i,m,e,s,*,*,valid
a,d,m,i,r,e,*,*,valid
t,u,m,b,r,e,l,s,valid
r,f,n,*,*,*,*,*,invalid
u,d,e,*,*,*,*,*,invalid
k,u,e,q,*,*,*,*,invalid
y,b,o,*,*,*,*,*,invalid
a,d,s,b,h,*,*,*,invalid
m,d,q,t,e,*,*,*,invalid
b,p,p,l,*,*,*,*,invalid
j,m,t,o,i,o,*,*,invalid
l,g,s,t,g,p,*,*,invalid
n,p,m,r,b,o,u,*,invalid
o,u,d,j,d,r,q,*,invalid
s,o,t,t,i,s,h,*,valid
v,c,o,p,k,f,w,*,invalid
h,h,v,h,e,*,*,*,invalid
r,e,a,l,l,y,*,*,valid
i,h,h,b,r,c,*,*,invalid
a,q,y,t,b,*,*,*,invalid
i,y,e,*,*,*,*,*,invalid
i,r,o,n,i,c,a,l,valid
c,l,a,r,i,f,y,*,valid
h,h,u,d,k,*,*,*,invalid
s,g,n,w,v,w,*,*,invalid
a,h,r,r,*,*,*,*,invalid
g,u,x,w,h,q,*,*,invalid
h,o,r,s,i,n,g,*,valid
n,o,r,t,h,*,*,*,valid
p,y,i,g,t,d,*,*,invalid
k,u,w,*,*,*,*,*,invalid
s,n,o,m,*,*,*,*,invalid
e,n,x,o,m,b,*,*,invalid
s,h,i,l,l,s,*,*,valid
v,d,d,q,*,*,*,*,invalid
q,i,s,w,u,m,x,*,invalid
s,l,a,g,*,*,*,*,valid
k,f,n,d,k,p,l,*,invalid
h,e,k,*,*,*,*,*,invalid
k,n,p,y,t,h,*,*,invalid
m,l,w,q,f,l,i,*,invalid
