char01,char02,char03,char04,char05,char06,char07,char08,Valid
e,a,r,b,u,d,*,*,valid
l,a,a,g,b,*,*,*,invalid
e,l,i,t,e,*,*,*,valid
m,k,r,*,*,*,*,*,invalid
d,x,k,d,l,c,r,*,invalid
o,g,d,b,w,*,*,*,invalid
r,e,d,s,k,i,n,s,valid
o,o,c,v,d,w,*,*,invalid
v,p,a,n,*,*,*,*,invalid
f,l,h,i,b,i,*,*,invalid
s,n,s,*,*,*,*,*,invalid
b,n,g,g,g,*,*,*,invalid
d,n,d,a,w,*,*,*,invalid
y,x,g,a,v,g,u,*,invalid
t,i,n,d,e,r,*,*,valid
a,g,n,o,l,*,*,*,invalid
f,i,e,n,d,i,s,h,valid
w,c,i,*,*,*,*,*,invalid
q,j,c,*,*,*,*,*,invalid
w,b,p,w,d,*,*,*,invalid
u,g,q,a,d,a,m,*,invalid
h,c,f,t,h,u,*,*,invalid
f,a,g,g,e,d,*,*,valid
k,u,m,q,q,*,*,*,invalid
l,u,m,b,e,r,s,*,valid
m,a,r,v,e,l,*,*,valid
n,a,x,b,*,*,*,*,invalid
q,t,r,e,m,*,*,*,invalid
o,u,m,c,n,v,f,*,invalid
l,x,f,c,v,*,*,*,invalid
h,h,s,k,f,y,*,*,invalid
v,y,l,o,k,*,*,*,invalid
m,e,o,*,*,*,*,*,invalid
c,j,q,s,p,*,*,*,invalid
f,f,d,s,*,*,*,*,invalid
b,l,u,y,y,r,u,*,invalid
f,i,a,r,n,n,*,*,invalid
c,h,s,e,*,*,*,*,invalid
t,l,q,o,k,g,*,*,invalid
l,e,f,e,m,*,*,*,invalid
t,h,i,e,v,e,*,*,valid
k,s,k,y,e,*,*,*,invalid
b,f,e,e,*,*,*,*,invalid
t,e,q,c,*,*,*,*,invalid
i,m,f,g,m,*,*,*,invalid
a,k,a,*,*,*,*,*,valid
h,e,a,t,i,n,g,*,valid
f,a,r,e,d,*,*,*,valid
o,l,u,r,*,*,*,*,invalid
p,a,g,i,n,g,*,*,valid
c,o,n,n,i,v,e,s,valid
m,r,c,i,*,*,*,*,invalid
p,a,l,a,t,a,l,s,valid
f,i,l,l,i,p,s,*,valid
d,y,n,a,m,o,s,*,valid
p,i,g,p,*,*,*,*,invalid
p,e,r,j,u,r,e,r,valid
j,a,n,g,l,e,*,*,valid
a,g,r,e,e,i,n,g,valid
l,k,b,q,y,*,*,*,invalid
u,n,b,a,r,*,*,*,valid
h,a,d,a,*,*,*,*,invalid
d,r,t,i,e,y,*,*,invalid
x,s,m,g,t,y,*,*,invalid
h,p,i,*,*,*,*,*,invalid
t,o,n,o,f,*,*,*,invalid
b,r,o,n,c,h,o,*,valid
k,f,x,n,x,*,*,*,invalid
t,g,b,t,*,*,*,*,invalid
n,i,t,e,x,*,*,*,invalid
d,a,n,c,e,d,*,*,valid
i,d,k,g,*,*,*,*,invalid
l,y,w,t,*,*,*,*,invalid
b,e,r,y,l,s,*,*,valid
t,r,i,a,l,*,*,*,valid
r,o,a,y,g,*,*,*,invalid
k,k,p,p,*,*,*,*,invalid
l,c,v,q,f,l,x,*,invalid
h,a,g,e,i,w,h,*,invalid
t,p,y,t,*,*,*,*,invalid
f,b,o,r,i,h,t,*,invalid
d,v,c,w,g,*,*,*,invalid
a,e,q,p,k,a,e,*,invalid
l,w,o,r,x,q,*,*,invalid
s,m,c,r,r,*,*,*,invalid
